Wavelength (nm),Cu_n,Cu_k,Zn_n,Zn_k,SiO2_n,SiO2_k
300.0,1.4021176470588237,1.674129411764706,0.6976412461605969,2.473263799912242,1.4925469567839194,0.00372744120603015
301.0,1.399795918367347,1.6795102040816323,0.6919644142167619,2.472062615182098,1.4922742599664989,0.0037130358458961473
302.0,1.3977551020408163,1.6846122448979592,0.6862875822729267,2.4708614304519525,1.4920068921340854,0.0036989010952538995
303.0,1.3957142857142857,1.6897142857142855,0.6806107503290918,2.469660245721808,1.4917433674078993,0.003684961500165947
304.0,1.393673469387755,1.6948163265306124,0.6749339183852568,2.468459060991663,1.4914798426817126,0.0036710219050779948
305.0,1.3916326530612244,1.699918367346939,0.6692570864414218,2.467257876261518,1.4912213876478317,0.003657162943495401
306.0,1.3895918367346938,1.7050204081632654,0.6635802544975867,2.466056691531374,1.4909667884362678,0.003643365308804205
307.0,1.3875510204081631,1.710122448979592,0.6579034225537517,2.464855506801229,1.4907121892247042,0.00362956767411301
308.0,1.3855102040816325,1.7152244897959184,0.6522265906099167,2.463654322071084,1.4904621726829268,0.0036160133333333335
309.0,1.383469387755102,1.720326530612245,0.6465497586660817,2.4624531373409395,1.4902163190243904,0.00360268
310.0,1.3814285714285712,1.7254285714285715,0.6408969513670458,2.4617686184369707,1.4899704653658539,0.0035893466666666674
311.0,1.38,1.7306701030927836,0.6358207355431891,2.473484079361239,1.4897284257648953,0.0035760711755233503
312.0,1.38,1.736237113402062,0.6307445197193322,2.4851995402855067,1.4894910666666668,0.003562866666666667
313.0,1.38,1.7418041237113402,0.6256683038954755,2.496915001209775,1.489253707568438,0.003549662157809984
314.0,1.38,1.7473711340206188,0.6205920880716187,2.5086304621340427,1.4890191301020408,0.0035366122448979593
315.0,1.38,1.752938144329897,0.6155158722477619,2.520345923058311,1.4887898571428573,0.0035238571428571432
316.0,1.38,1.7585051546391752,0.6104396564239052,2.532061383982579,1.4885605841836735,0.0035111020408163268
317.0,1.38,1.7640721649484536,0.6053634406000484,2.543776844906847,1.4883328434343432,0.0034983737373737375
318.0,1.38,1.7696391752577318,0.6002872247761917,2.555492305831116,1.488110936868687,0.0034857474747474757
319.0,1.38,1.7752061855670105,0.5952110089523349,2.5672077667553834,1.48788903030303,0.0034731212121212125
320.0,1.38,1.7807731958762885,0.5901347931284782,2.578923227679651,1.4876674348233823,0.003460512347608628
321.0,1.3778378378378378,1.785054054054054,0.5850585773046214,2.5906386886039194,1.48745330540794,0.00344832103782432
322.0,1.3742342342342342,1.7884774774774772,0.5799823614807645,2.602354149528188,1.4872391759924974,0.0034361297280400124
323.0,1.3706306306306306,1.7919009009009008,0.5749061456569079,2.614069610452456,1.4870250465770551,0.0034239384182557044
324.0,1.367027027027027,1.7953243243243242,0.569829929833051,2.625785071376724,1.4868169192450496,0.0034121120049504946
325.0,1.3634234234234237,1.7987477477477476,0.5647537140091943,2.637500532300992,1.486609926670792,0.0034003545792079203
326.0,1.35981981981982,1.802171171171171,0.5596774981853375,2.64921599322526,1.4864029340965346,0.0033885971534653465
327.0,1.3562162162162164,1.8055945945945944,0.5546012823614807,2.6609314541495284,1.4861999387067115,0.00337690775360098
328.0,1.3526126126126128,1.809018018018018,0.5495250665376239,2.672646915073796,1.4859995096536929,0.0033652620288078454
329.0,1.3490090090090092,1.8124414414414407,0.5444488507137671,2.6843623759980644,1.4857990806006744,0.00335361630401471
330.0,1.3454054054054054,1.815864864864865,0.5393726348899104,2.696077836922332,1.4856011304611652,0.003342115898058252
331.0,1.3418018018018016,1.819288288288288,0.536006275406504,2.707962055386179,1.4854078658980583,0.0033308901699029125
332.0,1.3409090909090908,1.8229545454545453,0.5354896764905149,2.720127536415989,1.4852146013349516,0.003319664441747573
333.0,1.3427272727272728,1.8268636363636368,0.5349730775745257,2.7322930174457998,1.4850216456456455,0.0033084444444444446
334.0,1.3445454545454547,1.8307727272727272,0.5344564786585366,2.744458498475609,1.4848345585585585,0.003297333333333333
335.0,1.3463636363636364,1.8346818181818183,0.5339398797425474,2.75662397950542,1.4846474714714715,0.003286222222222222
336.0,1.348181818181818,1.8385909090909087,0.5334232808265582,2.7687894605352303,1.4844603843843844,0.0032751111111111115
337.0,1.35,1.8425,0.5329066819105691,2.7809549415650405,1.4842777917906007,0.0032640761451516957
338.0,1.351818181818182,1.846409090909091,0.5323900829945799,2.793120422594851,1.484096947055324,0.0032530707911957164
339.0,1.3536363636363635,1.8503181818181813,0.5318734840785908,2.805285903624662,1.4839161023200478,0.003242065437239738
340.0,1.3554545454545457,1.8542272727272728,0.5313568851626016,2.817451384654472,1.4837373816254418,0.003231204946996466
